event_id,event_frequency,cell_id,turbine_id,failure_mode,failure_cause,windspeed_ms,p_failure,component,repair_time_hr,materials_usd,service_equipment,operation_reduction,is_unscheduled
79,0.041666666666666664,51,S00T17,blade_major_typhoon,typhoon,41.799519406597184,0.01,blade,120.0,350000.0,DSV,1.0,1
372,0.041666666666666664,51,S00T17,pitch_extremewind_typhoon,typhoon,34.77518777827613,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,51,S00T21,pitch_extremewind_typhoon,typhoon,33.488762423113464,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,51,S00T27,pitch_extremewind_typhoon,typhoon,33.488762423113464,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,51,S00T4,pitch_extremewind_typhoon,typhoon,41.799519406597184,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,51,S00T48,pitch_extremewind_typhoon,typhoon,41.799519406597184,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,51,S00T52,pitch_extremewind_typhoon,typhoon,41.799519406597184,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,51,S00T53,blade_major_typhoon,typhoon,41.799519406597184,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,52,S00T23,pitch_extremewind_typhoon,typhoon,32.386503706742474,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,52,S00T31,pitch_extremewind_typhoon,typhoon,42.94068955685827,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
391,0.041666666666666664,52,S00T37,pitch_extremewind_typhoon,typhoon,35.6631567407713,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
372,0.041666666666666664,52,S00T44,blade_major_typhoon,typhoon,36.45122057708734,0.01,blade,120.0,350000.0,DSV,1.0,1
79,0.041666666666666664,52,S00T47,pitch_extremewind_typhoon,typhoon,42.94068955685827,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
391,0.041666666666666664,52,S00T49,blade_major_typhoon,typhoon,35.6631567407713,0.01,blade,120.0,350000.0,DSV,1.0,1
384,0.041666666666666664,53,S00T1,blade_major_typhoon,typhoon,35.11622905968827,0.01,blade,120.0,350000.0,DSV,1.0,1
384,0.041666666666666664,53,S00T20,blade_major_typhoon,typhoon,35.11622905968827,0.01,blade,120.0,350000.0,DSV,1.0,1
391,0.041666666666666664,53,S00T22,pitch_extremewind_typhoon,typhoon,35.843974460561554,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
391,0.041666666666666664,53,S00T32,pitch_extremewind_typhoon,typhoon,35.843974460561554,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
391,0.041666666666666664,53,S00T39,pitch_extremewind_typhoon,typhoon,35.843974460561554,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
391,0.041666666666666664,53,S00T48,pitch_extremewind_typhoon,typhoon,35.843974460561554,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,57,S00T49,pitch_extremewind_typhoon,typhoon,41.9435097430561,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,58,S00T10,pitch_extremewind_typhoon,typhoon,44.95170218171091,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,58,S00T37,pitch_extremewind_typhoon,typhoon,44.95170218171091,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,58,S00T4,pitch_extremewind_typhoon,typhoon,44.95170218171091,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,58,S00T49,pitch_extremewind_typhoon,typhoon,34.6496057156141,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,58,S00T52,pitch_extremewind_typhoon,typhoon,34.6496057156141,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,59,S00T1,pitch_extremewind_typhoon,typhoon,47.82968018795126,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,59,S00T53,blade_major_typhoon,typhoon,47.82968018795126,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,60,S00T16,blade_major_typhoon,typhoon,49.913458148005134,0.05,blade,120.0,350000.0,DSV,1.0,1
336,0.041666666666666664,60,S00T17,blade_major_typhoon,typhoon,39.30747411993019,0.01,blade,120.0,350000.0,DSV,1.0,1
336,0.041666666666666664,60,S00T32,pitch_extremewind_typhoon,typhoon,39.30747411993019,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,60,S00T40,pitch_extremewind_typhoon,typhoon,49.913458148005134,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,60,S00T41,pitch_extremewind_typhoon,typhoon,49.913458148005134,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,60,S00T43,pitch_extremewind_typhoon,typhoon,39.30747411993019,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,61,S00T10,blade_major_typhoon,typhoon,51.26949959902553,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,61,S00T16,pitch_extremewind_typhoon,typhoon,51.26949959902553,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,61,S00T17,pitch_extremewind_typhoon,typhoon,51.26949959902553,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,61,S00T29,pitch_extremewind_typhoon,typhoon,51.26949959902553,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,61,S00T38,pitch_extremewind_typhoon,typhoon,51.26949959902553,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,61,S00T39,pitch_extremewind_typhoon,typhoon,51.26949959902553,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,61,S00T42,blade_major_typhoon,typhoon,51.26949959902553,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,61,S00T49,blade_major_typhoon,typhoon,51.26949959902553,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,61,S00T49,pitch_extremewind_typhoon,typhoon,51.26949959902553,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
