id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
S00T15,OSS1,S00T15,turbine,107.51177011608902,8.69980736882088,0,14,0,IEC-III-10MW Ref.yaml,array.yaml
S00T16,OSS1,S00T16,turbine,107.52354023217806,8.69980736882088,0,15,0,IEC-III-10MW Ref.yaml,array.yaml
S00T17,OSS1,S00T17,turbine,107.53531034826709,8.69980736882088,0,16,0,IEC-III-10MW Ref.yaml,array.yaml
S00T18,OSS1,S00T18,turbine,107.54708046435611,8.69980736882088,0,17,0,IEC-III-10MW Ref.yaml,array.yaml
S00T19,OSS1,S00T19,turbine,107.45291953564389,8.716538245880587,0,18,0,IEC-III-10MW Ref.yaml,array.yaml
S00T20,OSS1,S00T20,turbine,107.46468965173291,8.716538245880587,0,19,0,IEC-III-10MW Ref.yaml,array.yaml
S00T21,OSS1,S00T21,turbine,107.47645976782194,8.716538245880587,0,20,0,IEC-III-10MW Ref.yaml,array.yaml
S00T22,OSS1,S00T22,turbine,107.48822988391098,8.716538245880587,0,21,0,IEC-III-10MW Ref.yaml,array.yaml
S00T23,OSS1,S00T23,turbine,107.5,8.716538245880587,0,22,0,IEC-III-10MW Ref.yaml,array.yaml
S00T24,OSS1,S00T24,turbine,107.51177011608902,8.716538245880587,0,23,0,IEC-III-10MW Ref.yaml,array.yaml
S00T25,OSS1,S00T25,turbine,107.52354023217806,8.716538245880587,0,24,0,IEC-III-10MW Ref.yaml,array.yaml
S00T26,OSS1,S00T26,turbine,107.53531034826709,8.716538245880587,0,25,0,IEC-III-10MW Ref.yaml,array.yaml
S00T27,OSS1,S00T27,turbine,107.54708046435611,8.716538245880587,0,26,0,IEC-III-10MW Ref.yaml,array.yaml
S00T28,OSS1,S00T28,turbine,107.45291953564389,8.733269122940293,0,27,0,IEC-III-10MW Ref.yaml,array.yaml
S00T29,OSS1,S00T29,turbine,107.46468965173291,8.733269122940293,0,28,0,IEC-III-10MW Ref.yaml,array.yaml
S00T30,OSS1,S00T30,turbine,107.47645976782194,8.733269122940293,0,29,0,IEC-III-10MW Ref.yaml,array.yaml
S00T31,OSS1,S00T31,turbine,107.48822988391098,8.733269122940293,0,30,0,IEC-III-10MW Ref.yaml,array.yaml
S00T32,OSS1,S00T32,turbine,107.5,8.733269122940293,0,31,0,IEC-III-10MW Ref.yaml,array.yaml
S00T33,OSS1,S00T33,turbine,107.51177011608902,8.733269122940293,0,32,0,IEC-III-10MW Ref.yaml,array.yaml
S00T34,OSS1,S00T34,turbine,107.52354023217806,8.733269122940293,0,33,0,IEC-III-10MW Ref.yaml,array.yaml
S00T35,OSS1,S00T35,turbine,107.53531034826709,8.733269122940293,0,34,0,IEC-III-10MW Ref.yaml,array.yaml
S00T36,OSS1,S00T36,turbine,107.54708046435611,8.733269122940293,0,35,0,IEC-III-10MW Ref.yaml,array.yaml
S00T37,OSS1,S00T37,turbine,107.45291953564389,8.75,0,36,0,IEC-III-10MW Ref.yaml,array.yaml
S00T38,OSS1,S00T38,turbine,107.46468965173291,8.75,0,37,0,IEC-III-10MW Ref.yaml,array.yaml
S00T39,OSS1,S00T39,turbine,107.47645976782194,8.75,0,38,0,IEC-III-10MW Ref.yaml,array.yaml
S00T40,OSS1,S00T40,turbine,107.48822988391098,8.75,0,39,0,IEC-III-10MW Ref.yaml,array.yaml
S00T41,OSS1,S00T41,turbine,107.5,8.75,0,40,0,IEC-III-10MW Ref.yaml,array.yaml
S00T42,OSS1,S00T42,turbine,107.51177011608902,8.75,0,41,0,IEC-III-10MW Ref.yaml,array.yaml
S00T43,OSS1,S00T43,turbine,107.52354023217806,8.75,0,42,0,IEC-III-10MW Ref.yaml,array.yaml
S00T44,OSS1,S00T44,turbine,107.53531034826709,8.75,0,43,0,IEC-III-10MW Ref.yaml,array.yaml
S00T45,OSS1,S00T45,turbine,107.54708046435611,8.75,0,44,0,IEC-III-10MW Ref.yaml,array.yaml
S00T46,OSS1,S00T46,turbine,107.45291953564389,8.766730877059707,0,45,0,IEC-III-10MW Ref.yaml,array.yaml
S00T47,OSS1,S00T47,turbine,107.46468965173291,8.766730877059707,0,46,0,IEC-III-10MW Ref.yaml,array.yaml
S00T48,OSS1,S00T48,turbine,107.47645976782194,8.766730877059707,0,47,0,IEC-III-10MW Ref.yaml,array.yaml
S00T49,OSS1,S00T49,turbine,107.48822988391098,8.766730877059707,0,48,0,IEC-III-10MW Ref.yaml,array.yaml
S00T50,OSS1,S00T50,turbine,107.5,8.766730877059707,0,49,0,IEC-III-10MW Ref.yaml,array.yaml
S00T51,OSS1,S00T51,turbine,107.51177011608902,8.766730877059707,0,50,0,IEC-III-10MW Ref.yaml,array.yaml
S00T52,OSS1,S00T52,turbine,107.52354023217806,8.766730877059707,0,51,0,IEC-III-10MW Ref.yaml,array.yaml
S00T53,OSS1,S00T53,turbine,107.53531034826709,8.766730877059707,0,52,0,IEC-III-10MW Ref.yaml,array.yaml
S00T54,OSS1,S00T54,turbine,107.54708046435611,8.766730877059707,0,53,0,IEC-III-10MW Ref.yaml,array.yaml
S00T55,OSS1,S00T55,turbine,107.45291953564389,8.783461754119413,0,54,0,IEC-III-10MW Ref.yaml,array.yaml
S00T56,OSS1,S00T56,turbine,107.46468965173291,8.783461754119413,0,55,0,IEC-III-10MW Ref.yaml,array.yaml
S00T57,OSS1,S00T57,turbine,107.47645976782194,8.783461754119413,0,56,0,IEC-III-10MW Ref.yaml,array.yaml
S00T58,OSS1,S00T58,turbine,107.48822988391098,8.783461754119413,0,57,0,IEC-III-10MW Ref.yaml,array.yaml
S00T59,OSS1,S00T59,turbine,107.5,8.783461754119413,0,58,0,IEC-III-10MW Ref.yaml,array.yaml
S00T60,OSS1,S00T60,turbine,107.51177011608902,8.783461754119413,0,59,0,IEC-III-10MW Ref.yaml,array.yaml
S00T61,OSS1,S00T61,turbine,107.52354023217806,8.783461754119413,0,60,0,IEC-III-10MW Ref.yaml,array.yaml
S00T62,OSS1,S00T62,turbine,107.53531034826709,8.783461754119413,0,61,0,IEC-III-10MW Ref.yaml,array.yaml
S00T63,OSS1,S00T63,turbine,107.54708046435611,8.783461754119413,0,62,0,IEC-III-10MW Ref.yaml,array.yaml

