id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,107.5,8.75,,,,osw_substation.yaml,export.yaml
S00T1,OSS1,S00T1,turbine,107.4465573107309,8.684885235227087,0,0,0,IEA 15 MW Reference.yaml,array.yaml
S00T2,OSS1,S00T2,turbine,107.46182665052207,8.684885235227087,0,1,0,IEA 15 MW Reference.yaml,array.yaml
S00T3,OSS1,S00T3,turbine,107.47709599031325,8.684885235227087,0,2,0,IEA 15 MW Reference.yaml,array.yaml
S00T4,OSS1,S00T4,turbine,107.49236533010442,8.684885235227087,0,3,0,IEA 15 MW Reference.yaml,array.yaml
S00T5,OSS1,S00T5,turbine,107.50763466989558,8.684885235227087,0,4,0,IEA 15 MW Reference.yaml,array.yaml
S00T6,OSS1,S00T6,turbine,107.52290400968675,8.684885235227087,0,5,0,IEA 15 MW Reference.yaml,array.yaml
S00T7,OSS1,S00T7,turbine,107.53817334947793,8.684885235227087,0,6,0,IEA 15 MW Reference.yaml,array.yaml
S00T8,OSS1,S00T8,turbine,107.5534426892691,8.684885235227087,0,7,0,IEA 15 MW Reference.yaml,array.yaml
S00T9,OSS1,S00T9,turbine,107.4465573107309,8.70659015681806,0,8,0,IEA 15 MW Reference.yaml,array.yaml
S00T10,OSS1,S00T10,turbine,107.46182665052207,8.70659015681806,0,9,0,IEA 15 MW Reference.yaml,array.yaml
S00T11,OSS1,S00T11,turbine,107.47709599031325,8.70659015681806,0,10,0,IEA 15 MW Reference.yaml,array.yaml
S00T12,OSS1,S00T12,turbine,107.49236533010442,8.70659015681806,0,11,0,IEA 15 MW Reference.yaml,array.yaml
S00T13,OSS1,S00T13,turbine,107.50763466989558,8.70659015681806,0,12,0,IEA 15 MW Reference.yaml,array.yaml
S00T14,OSS1,S00T14,turbine,107.52290400968675,8.70659015681806,0,13,0,IEA 15 MW Reference.yaml,array.yaml
S00T15,OSS1,S00T15,turbine,107.53817334947793,8.70659015681806,0,14,0,IEA 15 MW Reference.yaml,array.yaml
S00T16,OSS1,S00T16,turbine,107.5534426892691,8.70659015681806,0,15,0,IEA 15 MW Reference.yaml,array.yaml
