windspeed_ms,power_kw
3.5,59
4.0,136
4.5,236
5.0,361
5.5,514
6.0,697
6.5,913
7.0,1165
7.5,1456
8.0,1788
8.5,2165
9.0,2588
9.5,3061
10.0,3587
10.5,4168
11.0,4807
11.5,5507
12.0,6271
12.5,7101
13.0,8000
13.5,8000
14.0,8000
14.5,8000
15.0,8000
15.5,8000
16.0,8000
16.5,8000
17.0,8000
17.5,8000
18.0,8000
18.5,8000
19.0,8000
19.5,8000
20.0,8000
20.5,8000
21.0,8000
21.5,8000
22.0,8000
22.5,8000
23.0,8000
23.5,8000
24.0,8000
24.5,8000
25.0,8000
25.5,8000
26.0,8000
26.5,8000
27.0,8000
27.5,8000
28.0,8000
