run,random_seed,year,windfarm
1,1,2002,2624163.179
1,1,2003,2592878.6
1,1,2004,2608226.644
1,1,2005,2590825.613
1,1,2006,2589502.198
1,1,2007,2588950.64
1,1,2008,2606433.562
1,1,2009,2589694.515
1,1,2010,2596872.458
1,1,2011,2596186.893
1,1,2012,2604902.254
1,1,2013,2587346.079
1,1,2014,2591408.034
1,1,2015,2588969.08
1,1,2016,2605908.766
1,1,2017,2583745.891
1,1,2018,2590618.288
1,1,2019,2590396.236
1,1,2020,2607052.237
1,1,2021,2591120.565
2,2,2002,2622611.19
2,2,2003,2593497.864
2,2,2004,2603095.656
2,2,2005,2584165.942
2,2,2006,2586635.364
2,2,2007,2586990.723
2,2,2008,2607061.888
2,2,2009,2587707.548
2,2,2010,2591192.576
2,2,2011,2587580.862
2,2,2012,2607568.912
2,2,2013,2585990.541
2,2,2014,2591934.108
2,2,2015,2592580.046
2,2,2016,2604619.316
2,2,2017,2588144.849
2,2,2018,2589178.891
2,2,2019,2588447.792
2,2,2020,2603380.904
2,2,2021,2588424.364
3,3,2002,2621024.218
3,3,2003,2590500.246
3,3,2004,2601583.71
3,3,2005,2586755.238
3,3,2006,2593183.323
3,3,2007,2594094.705
3,3,2008,2607430.412
3,3,2009,2589366.714
3,3,2010,2588139.642
3,3,2011,2588014.938
3,3,2012,2602165.128
3,3,2013,2587642.391
3,3,2014,2591374.463
3,3,2015,2590014.983
3,3,2016,2603849.889
3,3,2017,2590302.408
3,3,2018,2589097.352
3,3,2019,2589432.884
3,3,2020,2608845.151
3,3,2021,2594361.148
4,4,2002,2624632.035
4,4,2003,2592279.776
4,4,2004,2605779.411
4,4,2005,2591254.718
4,4,2006,2586526.221
4,4,2007,2590310.27
4,4,2008,2601760.867
4,4,2009,2590465.912
4,4,2010,2594257.882
4,4,2011,2592777.41
4,4,2012,2607198.167
4,4,2013,2592186.229
4,4,2014,2593203.683
4,4,2015,2594482.829
4,4,2016,2608727.555
4,4,2017,2591817.543
4,4,2018,2594196.122
4,4,2019,2592648.882
4,4,2020,2606368.12
4,4,2021,2590717.849
5,5,2002,2616923.44
5,5,2003,2586586.176
5,5,2004,2601561.866
5,5,2005,2589219.942
5,5,2006,2587185.167
5,5,2007,2593452.876
5,5,2008,2601333.235
5,5,2009,2594697.658
5,5,2010,2592008.494
5,5,2011,2590564.272
5,5,2012,2606901.391
5,5,2013,2591234.763
5,5,2014,2590027.797
5,5,2015,2594838.933
5,5,2016,2604734.166
5,5,2017,2586023.215
5,5,2018,2590408.574
5,5,2019,2593015.748
5,5,2020,2605386.129
5,5,2021,2588053.483
6,6,2002,2623100.482
6,6,2003,2591375.263
6,6,2004,2603702.765
6,6,2005,2591868.692
6,6,2006,2591670.268
6,6,2007,2590845.511
6,6,2008,2608004.735
6,6,2009,2587744.479
6,6,2010,2595738.299
6,6,2011,2589430.705
6,6,2012,2601640.497
6,6,2013,2590338.196
6,6,2014,2590113.784
6,6,2015,2589811.685
6,6,2016,2603072.446
6,6,2017,2593303.721
6,6,2018,2588871.141
6,6,2019,2584714.829
6,6,2020,2603949.257
6,6,2021,2592508.59
7,7,2002,2625753.852
7,7,2003,2592270.645
7,7,2004,2603968.819
7,7,2005,2586979.541
7,7,2006,2589618.242
7,7,2007,2593225.698
7,7,2008,2607960.295
7,7,2009,2592222.036
7,7,2010,2587223.017
7,7,2011,2593307.87
7,7,2012,2604319.562
7,7,2013,2594201.117
7,7,2014,2593776.308
7,7,2015,2591594.399
7,7,2016,2604738.684
7,7,2017,2592664.073
7,7,2018,2592306.15
7,7,2019,2584526.458
7,7,2020,2607231.59
7,7,2021,2589721.431
8,8,2002,2625139.716
8,8,2003,2587811.79
8,8,2004,2601181.204
8,8,2005,2590749.821
8,8,2006,2592587.001
8,8,2007,2591852.146
8,8,2008,2605811.134
8,8,2009,2589867.776
8,8,2010,2588969.367
8,8,2011,2592797.435
8,8,2012,2607242.241
8,8,2013,2588615.96
8,8,2014,2583471.576
8,8,2015,2589864.645
8,8,2016,2599890.943
8,8,2017,2597151.852
8,8,2018,2590000.52
8,8,2019,2588334.937
8,8,2020,2605476.672
8,8,2021,2590242.514
9,9,2002,2619011.033
9,9,2003,2591847.86
9,9,2004,2602891.553
9,9,2005,2594296.631
9,9,2006,2591731.551
9,9,2007,2592050.366
9,9,2008,2606976.449
9,9,2009,2586987.558
9,9,2010,2588104.926
9,9,2011,2593941.613
9,9,2012,2599832.58
9,9,2013,2587697.256
9,9,2014,2594779.544
