run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,24167384.041666668,1165330.8642802064,0.0,8008333.333333332
1,1,2003,38650953.53444431,1168528.0275703326,0.0,24047449.07407407
1,1,2004,14495406.020833332,1171726.7536967492,1767328.536401644,19151086.054585874
1,1,2005,53081972.0460991,1168528.9863899378,0.0,29718298.78375073
1,1,2006,9671978.020833332,1168530.8502344,1741352.3268605142,8028249.999999999
1,1,2007,24144774.222916666,1168527.5283697245,342383.3294542956,24022036.32054392
1,1,2008,9671978.020833334,1171730.272177922,1760591.2089485838,26995810.185185183
1,1,2009,24129454.303632013,1168527.7143695906,373121.8101837552,29079805.555555552
1,1,2010,19328295.12507016,1168528.1139122343,1729842.7912598946,8008333.333333332
1,1,2011,29015934.0625,1168530.876289389,373127.5122788333,24040222.22222222
1,1,2012,14495406.020833332,1171735.8374275058,1756767.8028335127,26446998.42231966
1,1,2013,9671978.020833332,1168529.4483345165,378634.3806357032,29674999.999999996
1,1,2014,0.0,1168531.4992308295,1848857.9941469056,16034157.407407405
1,1,2015,24167384.041666668,1168529.1657862824,378703.88948406227,24842662.037037034
1,1,2016,14495406.020833332,1171730.85055619,1848779.740862726,39258486.111111104
1,1,2017,0.0,1168529.180010451,503638.25449509633,35833035.42010713
1,1,2018,43433098.908300936,1168528.1667421616,1847027.859402212,22686106.481481478
1,1,2019,24167384.041666668,1168529.1613968106,503218.5925047112,24022087.96296296
1,1,2020,24144774.222916666,1171733.0787009252,1847407.7432312018,16030898.148148146
1,1,2021,9694587.839583334,1168527.3252525236,626836.869320653,32065269.007671416
2,2,2002,9671978.020833332,1165332.2292305327,0.0,40071639.49230244
2,2,2003,9671978.020833332,1168527.8471575784,0.0,12215208.586111834
2,2,2004,28990812.041666668,1171732.5057338993,1769969.4710859093,39836169.37397415
2,2,2005,38611867.39784773,1168530.2051007627,0.0,28085102.43704246
2,2,2006,19304408.14419327,1168528.8593522082,1899364.194133779,40071810.18518518
2,2,2007,24167384.041666668,1168532.8808734887,0.0,19531089.887511093
2,2,2008,19343956.041666668,1171730.7269933058,1902304.9043852212,40086026.661896
2,2,2009,38625403.20222906,1168530.1396290055,127590.2709201389,24058424.897969767
2,2,2010,19303877.294804282,1168529.6128376764,1874894.9088909694,25166830.35734954
2,2,2011,24147286.425,1168528.5195974065,256742.9805902778,8008333.333333332
2,2,2012,38645435.77307516,1171731.2991785016,1868623.812071067,16618408.057118975
2,2,2013,19323858.425,1168530.5949328698,252512.08713541666,29483831.78134195
2,2,2014,28999138.7865343,1168527.7035953703,1868589.418941899,26602936.28750363
2,2,2015,53080421.31589451,1168526.4306434393,505282.44625,24021032.407407403
2,2,2016,53083016.78813653,1171728.466085941,1710707.015275667,16016129.629629627
2,2,2017,77229449.97024877,1168525.3977695336,877797.0866145834,24016666.666666664
2,2,2018,14518015.839583334,1168530.7191503516,1722094.227315199,24058333.333333332
2,2,2019,9671978.020833332,1168525.1587246207,882883.0848453431,31185796.296296295
2,2,2020,24126651.959057704,1171730.890511047,1722098.3068182864,16883333.333333332
2,2,2021,9674490.222916666,1168531.814421241,881802.3268939543,24032861.11111111
3,3,2002,9671978.020833332,1165333.190360775,0.0,33291081.1394323
3,3,2003,24128560.477005176,1168528.3041839148,0.0,14062999.999999998
3,3,2004,9649368.202083332,1171730.094846812,1769877.1934285234,17990592.59259259
3,3,2005,67562673.9729667,1168529.5713057944,0.0,24282521.628475226
3,3,2006,19305379.363629926,1168526.65593593,1742647.0654215477,8018334.912240591
3,3,2007,53097203.28165017,1168530.9117072627,506803.97414930555,8008884.259259258
3,3,2008,9694587.839583334,1171731.3695687666,1615991.8897479114,8008333.333333332
3,3,2009,43486218.0625,1168531.0044331532,642499.2791068236,45712785.8397225
3,3,2010,9671978.020833332,1168526.411000256,1593149.1207784496,40088407.4074074
3,3,2011,48296078.34358754,1168529.8687910947,767185.4643841629,8024999.999999999
3,3,2012,9671978.020833332,1171732.3675045033,1591567.850702183,24045919.19950833
3,3,2013,29198776.445316438,1168530.2394304448,892018.3779754639,16016666.666666664
3,3,2014,22609.81875,1168529.4498136397,1589005.5945818562,8008333.333333332
3,3,2015,24144774.222916666,1168529.4690296552,892609.6287046305,24034861.11111111
3,3,2016,43715466.83497379,1171726.1222135886,1468182.6860160655,9612245.37037037
3,3,2017,48295944.51362565,1168523.7074778655,888538.4788153488,30460015.824169945
3,3,2018,28976543.285190854,1168528.5488670324,1437893.2858004645,24049363.04639217
3,3,2019,33778416.44794988,1168525.3597251882,756470.079902032,16049787.037037035
3,3,2020,38623047.891766936,1171728.6885974745,1466806.402224856,12207854.577272378
3,3,2021,19327742.300792888,1168525.9072989644,753426.3126103653,32060999.240749143
4,4,2002,14495406.020833332,1165331.3126530584,0.0,0.0
4,4,2003,19343956.041666668,1168530.6670161982,0.0,16053184.788329925
4,4,2004,9671978.020833332,1171726.0166076676,1893765.7697304217,32058333.33333333
4,4,2005,24144774.222916666,1168526.9445561387,0.0,0.0
4,4,2006,9694587.839583334,1168530.2024593889,1753756.8893700093,24046229.547043048
4,4,2007,33777851.6836782,1168530.708457853,125775.25213541667,24033774.556306224
4,4,2008,22609.81875,1171730.930272401,1867879.8463534743,26251069.444444444
4,4,2009,24144774.222916666,1168530.6523704026,125779.87684027778,21842074.07407407
4,4,2010,29038543.88125,1168527.1916701416,1867976.0012499264,14113763.888888888
4,4,2011,33777347.16908103,1168530.1094908922,125778.45385416667,25940189.15972884
4,4,2012,14518015.839583334,1171730.060615836,1867968.440089714,16030884.259259257
4,4,2013,9671978.020833332,1168533.8056824454,125780.23258680556,16033333.333333332
4,4,2014,43449713.10277446,1168526.8318104239,1991149.0535195034,16029702.619020535
4,4,2015,62737048.28158423,1168526.3165962233,125773.11765625,16017024.556306222
4,4,2016,19343956.041666668,1171731.7971888953,1866690.3977507027,8008333.333333332
4,4,2017,9671978.020833332,1168526.9256863766,509423.6915798611,36239725.27113091
4,4,2018,0.0,1168529.9998143893,1866682.783689674,19860246.493688826
4,4,2019,28990812.041666668,1168529.6474411115,509412.30769097223,15280504.629629629
4,4,2020,32530557.81246065,1171728.865277199,1740220.6125995824,766666.6666666665
4,4,2021,19306026.029948633,1168528.238211533,758944.6619097223,8008333.333333332
5,5,2002,53349970.881910376,1165333.7652884657,0.0,25143801.99524406
5,5,2003,33798797.65331234,1168528.9528279672,0.0,24916829.014315784
5,5,2004,28956754.85805014,1171734.7853920937,1860323.8781749043,16027361.11111111
5,5,2005,28971109.490541607,1168527.7389239331,0.0,32891363.04205475
5,5,2006,28956819.19648665,1168526.665524674,1866799.4827183862,33199093.32809739
5,5,2007,38647999.40867726,1168531.123204008,123957.743125,16033333.333333332
5,5,2008,24167384.041666668,1171730.2187918383,1868076.7180902304,24052515.358081877
5,5,2009,9671978.020833332,1168527.0911242506,378741.27184027777,16055129.629629629
5,5,2010,38624950.862857215,1168526.9773020379,1868043.3585148097,19540972.22222222
5,5,2011,19321346.222916666,1168529.1321054716,378710.3218923611,36576487.503292024
5,5,2012,19343956.041666668,1171728.0520141625,2004437.6390438543,16027842.592592591
5,5,2013,33787862.24756802,1168528.8659565644,394772.98911458335,8024999.999999999
5,5,2014,14472796.202083332,1168525.0152418579,2004620.3727661828,30988777.66252619
5,5,2015,24189993.86041667,1168527.5013576106,531413.0959548611,17814636.694987856
5,5,2016,9671978.020833332,1171733.145285236,1974595.2262962773,34649794.19152712
5,5,2017,38640180.24375,1168527.0503664135,648211.7959548611,32071397.90023583
5,5,2018,38888928.62889914,1168531.314869063,1866956.6562535819,24064291.495650403
5,5,2019,24167384.041666668,1168529.7378373162,648230.3640380844,24022374.999999996
5,5,2020,48515997.999834865,1171732.7429971404,1999987.7749477823,48078202.77395525
5,5,2021,19366565.86041667,1168529.6695216047,777724.2346283621,24025740.74074074
6,6,2002,24167384.041666668,1165329.9700697158,0.0,8024472.222222221
6,6,2003,9671978.020833332,1168529.9475061775,0.0,16030608.135127319
6,6,2004,0.0,1171730.7246452186,1893736.7278343353,16016666.666666664
6,6,2005,57930870.68711055,1168528.8579453218,0.0,33903752.46769037
6,6,2006,43450890.88949013,1168529.2630864591,1769943.1054109943,8004295.607940354
6,6,2007,19366565.86041667,1168529.614084245,248072.01472222223,8008333.333333332
6,6,2008,24167384.041666668,1171733.0494581277,1867411.6177743168,8008333.333333332
6,6,2009,34044767.58548293,1168526.4637273946,248056.00612847222,24049916.666666664
6,6,2010,24127641.8709336,1168529.8650457878,1864841.630583405,24064125.2844591
6,6,2011,0.0,1168528.4938002503,259312.98585860326,24045296.296296295
6,6,2012,33801443.80596649,1171732.8120771297,1867433.469169038,8026027.777777778
6,6,2013,14495406.020833332,1168528.4694889477,259093.84599749217,27691749.10072639
6,6,2014,34792349.174798615,1168531.3834261927,1743447.3787255513,45796390.08878563
6,6,2015,24125582.658280484,1168530.0937186396,399677.7588447144,32029069.44444444
6,6,2016,9674490.222916666,1171728.6817528177,1744487.997913691,24048583.333333332
6,6,2017,28978004.14216621,1168529.5741330178,399678.11459124216,24013965.687066015
6,6,2018,24144774.222916666,1168527.4337790268,1860920.6664802758,7999999.999999999
6,6,2019,19328741.10305771,1168529.715553901,399682.3835495755,24061962.25062063
6,6,2020,24410637.778060187,1171727.52757878,1737279.2369701648,16023120.37037037
6,6,2021,14495406.020833332,1168528.3986373274,523147.4177336033,16016666.666666664
7,7,2002,24130172.776859466,1165328.9579275127,0.0,24049060.589125276
7,7,2003,9671978.020833332,1168523.599170751,0.0,24023134.259259257
7,7,2004,46251317.917844296,1171730.3758094583,1886020.6053417816,24049999.999999996
7,7,2005,28980606.97729029,1168528.9208947713,0.0,8029731.48148148
7,7,2006,9671978.020833332,1168528.7388837223,1767149.6000327996,7461388.888888888
7,7,2007,24144774.222916666,1168529.2208424592,123284.31494791666,16610001.557763018
7,7,2008,14518015.839583334,1171735.5357614974,1769849.058562013,16016138.888888888
7,7,2009,28978533.16515094,1168527.5200123612,123277.55576388889,8004166.666666666
7,7,2010,0.0,1168532.6058290838,1893905.4736783246,40264290.63157068
7,7,2011,9671978.020833332,1168531.6669780398,123276.84427083333,25757367.644364774
7,7,2012,14495406.020833332,1171725.5549836003,1893914.6294336633,31831977.838806927
7,7,2013,38623384.96778429,1168524.732843723,123281.11322916667,24847972.22222222
7,7,2014,0.0,1168527.0060670844,1866888.1639260137,24038708.333333332
7,7,2015,9671978.020833332,1168530.8964739204,526327.6993402778,24051699.533093773
7,7,2016,9671978.020833332,1171727.5939999248,1866870.5960755693,8008333.333333332
7,7,2017,48255114.16756023,1168525.8036040785,526318.4499305555,32051648.148148146
7,7,2018,53109810.28209342,1168528.322907341,1740524.361151801,23360438.89961727
7,7,2019,38623319.30895533,1168530.2494859626,650856.0598958334,9952303.855331752
7,7,2020,24132625.45795741,1171728.6863182504,1713205.6140419228,8008333.333333332
7,7,2021,28951264.145221334,1168528.1631072464,779831.4290771474,24040215.839437097
8,8,2002,53106759.09417455,1165335.1812273194,0.0,0.0
8,8,2003,19346468.243750002,1168529.676492258,0.0,16008333.333333332
8,8,2004,19343956.041666668,1171729.7071704073,1893432.388262631,26316405.57798148
8,8,2005,28977244.273515314,1168526.7463604873,0.0,8008333.333333332
8,8,2006,43714270.75682259,1168529.2602857284,1893274.0965898044,10058861.11111111
8,8,2007,24147286.425,1168526.7837593525,0.0,21986244.03809058
8,8,2008,38624471.986347966,1171732.3960684086,1893424.9617875703,22479154.21741071
8,8,2009,19328364.785767715,1168528.0500951256,0.0,33608333.33333333
8,8,2010,9671978.020833332,1168529.6689710596,1991068.2202709222,40061615.74074074
8,8,2011,24167384.041666668,1168528.0754285802,123036.00387152778,0.0
8,8,2012,0.0,1171732.9127328298,1989758.2376421588,24044949.07407407
8,8,2013,24167384.041666668,1168531.0643034023,246528.07479166667,41836543.4615419
8,8,2014,0.0,1168526.5602908127,1987185.6744528057,32658441.712867446
8,8,2015,0.0,1168527.3691661153,381621.3957291667,16031834.772966264
8,8,2016,43473515.26583417,1171728.6486376221,1866435.5767378437,24500544.111337617
8,8,2017,43450347.42748948,1168531.6426737383,381615.70378472225,32086663.961585168
8,8,2018,38624175.0762382,1168525.6336295041,1864157.3104837367,16037671.296296295
8,8,2019,24152564.173620425,1168526.586708043,505990.02609375,16038166.666666664
8,8,2020,48297841.09111991,1171727.3887172244,1697476.2463846372,30709608.390667573
8,8,2021,58171708.59763987,1168531.2851620938,643108.519095353,15928773.388147445
9,9,2002,24367298.99225343,1165331.287529224,0.0,16017959.30151695
9,9,2003,2512.202083333333,1168526.9650234983,0.0,8010684.673742061
9,9,2004,19306417.179027934,1171729.252313167,1900956.2772017687,35470599.353016235
9,9,2005,14495406.020833332,1168525.249916135,0.0,28674540.173706375
9,9,2006,9671978.020833332,1168531.6922777356,1900811.7580653073,16016666.666666664
9,9,2007,0.0,1168528.5538239237,129889.46072916666,32452634.041202284
9,9,2008,29211031.676291667,1171726.541231468,1903530.7111748797,26828336.385282625
9,9,2009,53103523.18878118,1168531.150121932,129885.54751736112,13243342.616052404
9,9,2010,24144774.222916666,1168528.5557469984,1880266.3940617465,19966881.504045036
9,9,2011,33823919.64608574,1168530.9658794901,503963.7631353066,28158841.016060106
9,9,2012,28990812.041666668,1171730.697065807,1859503.260705224,24024518.42122891
9,9,2013,43432009.17389397,1168529.8990496057,745221.3838541667,16010483.2558098
9,9,2014,29018446.264583334,1168525.990862926,1983518.6109303925,25126366.70567129
9,9,2015,24144774.222916666,1168526.459639424,745205.9938349363,11031896.77444691
9,9,2016,19366565.86041667,1171728.347342134,1862251.5237481664,16011787.037037035
9,9,2017,48292813.37625134,1168529.375190525,745194.6378198299,8008333.333333332
9,9,2018,19310223.703411203,1168532.8105264828,1852915.8989916837,16021869.735234518
9,9,2019,24167384.041666668,1168528.5155431104,745192.8239308448,16030319.444444442
9,9,2020,24167384.041666668,1171729.0932012224,1842078.5335862956,24032623.66772021
9,9,2021,19304408.145994645,1168526.5126178146,881274.0529759837,16008333.333333332
10,10,2002,24130172.70877746,1165335.0877434607,0.0,24039217.59259259
10,10,2003,43463608.24375,1168528.7451672873,0.0,8015176.891939012
10,10,2004,33801309.855395675,1171730.693377211,1740076.934411186,48093954.7807305
10,10,2005,34026009.8120333,1168527.70824846,247082.6836284722,26354185.500670012
10,10,2006,24167384.041666668,1168529.4581764003,1742637.541369784,13741666.666666664
10,10,2007,28976133.902238507,1168529.6002013746,380381.9748263889,0.0
10,10,2008,0.0,1171726.9037439798,1744021.7883758845,24049407.958044127
10,10,2009,19343956.041666668,1168531.4759497417,380393.71446180553,32065292.005607303
10,10,2010,14495406.020833332,1168531.022272009,1742628.1198948906,24062025.605202507
10,10,2011,9671978.020833332,1168527.4563392866,380395.49319444445,16019120.37037037
10,10,2012,0.0,1171732.2255848919,1741385.0793242748,7999999.999999999
10,10,2013,19343956.041666668,1168527.604562228,380413.28052083333,24013962.96296296
10,10,2014,33839362.0625,1168525.5086885935,1742654.7439033028,24023356.481481478
10,10,2015,24129065.926590644,1168525.9370616889,380396.56043402775,32322411.694351505
10,10,2016,14495406.020833332,1171727.959360119,1742650.175284887,24024999.999999996
10,10,2017,9649368.202083332,1168529.5215983973,512477.06402777776,8008333.333333332
10,10,2018,22609.81875,1168528.1556066368,1742667.6826876448,17516453.13069788
10,10,2019,24167384.041666668,1168529.276976518,512477.06402777776,10044562.642239546
10,10,2020,33778822.84016464,1171730.2612456277,1742635.4216877501,38048194.44444444
10,10,2021,14518015.839583334,1168529.8382018206,512491.9162447707,24042384.259259257
11,11,2002,0.0,1165333.1154880452,0.0,8008333.333333332
11,11,2003,43434341.94588284,1168529.2085477472,0.0,24024999.999999996
11,11,2004,9674490.222916666,1171731.269807012,1769938.8017684247,48055913.390691526
11,11,2005,48274572.21203713,1168529.5800465005,140030.0155034722,32068737.585300997
11,11,2006,9658302.963260313,1168526.1426153337,1740082.052247605,20560582.254429854
11,11,2007,19343956.041666668,1168529.9757530228,245194.52594364964,35532389.85381944
11,11,2008,14495406.020833332,1171730.276447743,1787433.2999258,24248130.805857744
11,11,2009,43448651.51772095,1168525.9797726714,275930.8550820306,24021453.7037037
11,11,2010,43435359.00836548,1168528.2942418086,1708071.6536767508,24032900.083429206
11,11,2011,14495406.020833332,1168529.001593003,686694.5743125515,26235918.245573923
11,11,2012,24144774.222916666,1171726.4314387755,1743399.824683594,24060499.999999996
11,11,2013,43448393.30514104,1168528.199917039,788714.5988485228,33199211.278216936
11,11,2014,9694587.839583334,1168527.0612446214,1713367.6862653762,16000547.163937243
11,11,2015,38624454.23967128,1168527.2144677609,913708.3503572269,16041416.666666664
11,11,2016,19343956.041666668,1171728.6029601006,1707943.1704214157,16038759.330349952
11,11,2017,9671978.020833332,1168528.2904354252,1043840.1725307987,16038308.131585175
11,11,2018,29015934.0625,1168527.5988113442,1692728.7690731145,9342684.61651303
11,11,2019,14495406.020833332,1168532.1717869886,1043586.9756819457,14697527.777777776
11,11,2020,28968202.222916666,1171730.5568255165,1584060.5342800452,24041977.608922478
11,11,2021,9694587.839583334,1168529.9899856132,1043445.2736113381,28482400.94315109
12,12,2002,19343956.041666668,1165329.203745658,0.0,8001842.592592591
12,12,2003,48273840.18843129,1168529.822219469,0.0,8000512.379788405
12,12,2004,33821188.875322655,1171729.3485797492,1767212.289463405,33509453.378059503
12,12,2005,33779859.34106885,1168527.1155134565,247854.29784722222,24055290.52024182
12,12,2006,38634072.09992299,1168526.3991679414,1851420.356791484,16048697.663599232
12,12,2007,2512.202083333333,1168529.3692754633,246940.7407638889,24034498.079862043
12,12,2008,38650700.75044413,1171732.2005351898,1866320.4636037126,24063100.20149022
12,12,2009,9649368.202083332,1168528.0268570753,246947.49994791666,16016666.666666664
12,12,2010,28960010.73321597,1168530.9819658403,1869179.3201808804,24040597.22222222
12,12,2011,28990812.041666668,1168527.702783876,246943.9424826389,16016666.666666664
12,12,2012,24129817.496887617,1171732.6699522715,1865044.6047604682,8022133.495854329
12,12,2013,28976852.44534849,1168531.7094701412,498493.73526041664,24034359.44364279
12,12,2014,43434931.60629959,1168528.3338967618,1741128.1549106338,8002525.956730772
12,12,2015,33778551.17438322,1168527.163680647,498498.3599652778,16032884.259259257
12,12,2016,14480176.639940549,1171727.975246705,1839759.8572483198,17040627.727515195
12,12,2017,28990812.041666668,1168527.011326966,498510.4553472222,16040986.11111111
12,12,2018,0.0,1168528.344787207,1837201.7124022597,0.0
12,12,2019,24144774.222916666,1168527.5358637427,515496.8140468039,32049683.962296937
12,12,2020,24153508.14315943,1171727.8981509896,1730342.8577922487,0.0
12,12,2021,24167384.041666668,1168524.7414021515,515480.09395999834,16033581.613504248
13,13,2002,24126168.56500593,1165335.8957248756,0.0,16016666.666666664
13,13,2003,28979885.151797477,1168528.6778667883,0.0,8008333.333333332
13,13,2004,24167384.041666668,1171727.5483644987,1770155.7639083855,33902902.721765965
13,13,2005,33816752.24375,1168529.824368547,125493.50088541667,32831124.999999996
13,13,2006,33823395.109597065,1168528.9144886816,1742641.979933038,19835092.59259259
13,13,2007,0.0,1168529.3746625937,388405.1262673611,19442523.148148146
