run,random_seed,time_based_availability,production_based_availability
1,1,0.984611852612366,0.9844877217782187
2,2,0.9845943607878926,0.9846070983073825
3,3,0.9847434215529698,0.9847168096682013
4,4,0.9846582439729257,0.984480749512915
5,5,0.9844377899460035,0.9842510270638819
6,6,0.9846540611453343,0.9846145185583176
7,7,0.9846370446421782,0.9845737169718929
8,8,0.9845432162141607,0.9843301433713553
9,9,0.9844995817172408,0.9843417654971445
10,10,0.9846173663396456,0.9846009706733133
11,11,0.9843572705148681,0.9841631048790784
12,12,0.9846672750779527,0.9845857212374947
13,13,0.9846438892691459,0.9846224641898993
14,14,0.9846806791390981,0.9846258083444294
15,15,0.9845840938474408,0.9844589924590645
16,16,0.9844393109742186,0.9842722433073592
17,17,0.9844341775039926,0.9842103602796783
18,18,0.984464978325348,0.9842276124077595
19,19,0.9848271731690623,0.9848264481920879
20,20,0.9843672522625295,0.9840650092688923
21,21,0.9842550764316678,0.9838181543722514
22,22,0.9840687504753213,0.9837632216817999
23,23,0.9846917065936573,0.9845039817841269
24,24,0.9844506236215682,0.9842566866629147
25,25,0.9845122252642786,0.9843763551557648
26,26,0.9846170811468553,0.9845344722479492
27,27,0.9844559472203209,0.984210232838145
28,28,0.9845861852612366,0.984449676723208
29,29,0.9845410297361016,0.984397501334117
30,30,0.984625636930565,0.9845034524613546
