run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,37113360.0,2000000.0,44053029.362764224,0,16090440,99256829.36276422
1,1,2003,37113360.0,2000000.0,68705271.23441426,0,27497560,135316191.23441428
1,1,2004,37215040.43835616,2000000.0,49506568.63528174,0,12620100,101341709.0736379
1,1,2005,37113360.0,2000000.0,41489841.89791014,0,17005700,97608901.89791015
1,1,2006,37113360.0,2000000.0,54330304.03591822,0,12548020,105991684.03591822
1,1,2007,37113360.0,2000000.0,49482607.537503846,0,17369180,105965147.53750384
1,1,2008,37215040.43835616,2000000.0,51285191.51247822,0,17627580,108127811.95083438
1,1,2009,37113360.0,2000000.0,34406229.863638155,0,6887460,80407049.86363816
1,1,2010,37113360.0,2000000.0,61632634.33992519,0,27677960,128423954.3399252
1,1,2011,37113360.0,2000000.0,49897929.11721023,0,12296180,101307469.11721024
1,1,2012,37215040.43835616,2000000.0,28559156.59068535,0,2841300,70615497.02904151
1,1,2013,37113360.0,2000000.0,60098895.98354433,0,12542660,111754915.98354432
1,1,2014,37113360.0,2000000.0,52149891.90509526,0,17420880,108684131.90509525
1,1,2015,37113360.0,2000000.0,63482236.356724866,0,17810980,120406576.35672486
1,1,2016,37215040.43835616,2000000.0,82115549.85484879,0,23062040,144392630.29320496
1,1,2017,37113360.0,2000000.0,51018257.59290725,0,17497740,107629357.59290725
1,1,2018,37113360.0,2000000.0,86273756.89769465,0,23031760,148418876.89769465
1,1,2019,37113360.0,2000000.0,48191515.10871344,0,26985600,114290475.10871345
1,1,2020,37215040.43835616,2000000.0,36993709.20491027,0,12027900,88236649.64326644
1,1,2021,37113360.0,2000000.0,53459022.24204384,0,22319300,114891682.24204384
2,2,2002,37113360.0,2000000.0,36078197.90035947,0,15964860,91156417.90035947
2,2,2003,37113360.0,2000000.0,22461439.46076611,0,2116920,63691719.46076611
2,2,2004,37215040.43835616,2000000.0,51020160.80590432,0,12678920,102914121.24426049
2,2,2005,37113360.0,2000000.0,70213985.24385522,0,18017040,127344385.24385522
2,2,2006,37113360.0,2000000.0,36784704.77362292,0,7602480,83500544.77362293
2,2,2007,37113360.0,2000000.0,18857172.637373134,0,6921920,64892452.637373134
2,2,2008,37215040.43835616,2000000.0,52787978.12525488,0,7853640,99856658.56361103
2,2,2009,37113360.0,2000000.0,33317698.88597613,0,16987440,89418498.88597614
2,2,2010,37113360.0,2000000.0,12709787.53851345,0,7031980,58855127.53851345
2,2,2011,37113360.0,2000000.0,50744282.02136577,0,2557940,92415582.02136576
2,2,2012,37215040.43835616,2000000.0,84776086.0717868,0,27718060,151709186.51014298
2,2,2013,37113360.0,2000000.0,49675234.14638565,0,27373860,116162454.14638564
2,2,2014,37113360.0,2000000.0,59361547.568686426,0,27070340,125545247.56868643
2,2,2015,37113360.0,2000000.0,54456772.364289835,0,12524720,106094852.36428984
2,2,2016,37215040.43835616,2000000.0,76863138.65819399,0,42350820,158428999.09655017
2,2,2017,37113360.0,2000000.0,80842931.25370796,0,37143620,157099911.25370795
2,2,2018,37113360.0,2000000.0,31278874.48594103,0,12470160,82862394.48594102
2,2,2019,37113360.0,2000000.0,27547300.869529583,0,7072820,73733480.86952958
2,2,2020,37215040.43835616,2000000.0,60761894.48721879,0,17567480,117544414.92557496
2,2,2021,37113360.0,2000000.0,28607114.63020858,0,7313840,75034314.63020858
