run,random_seed,year,windfarm
14,14,2007,313047.498
14,14,2008,314853.575
14,14,2009,312953.934
14,14,2010,313086.383
14,14,2011,313284.859
14,14,2012,314648.857
14,14,2013,313088.452
14,14,2014,312318.045
14,14,2015,313191.687
14,14,2016,314685.002
14,14,2017,313250.388
14,14,2018,313136.79
14,14,2019,312960.94
14,14,2020,314955.09
14,14,2021,312873.952
15,15,2002,317081.984
15,15,2003,312136.085
15,15,2004,314047.243
15,15,2005,312994.892
15,15,2006,313129.22
15,15,2007,313269.598
15,15,2008,314542.654
15,15,2009,312972.831
15,15,2010,312813.674
15,15,2011,312788.512
15,15,2012,314782.915
15,15,2013,312912.367
15,15,2014,312775.443
15,15,2015,312943.208
15,15,2016,314514.121
15,15,2017,313015.026
15,15,2018,312858.937
15,15,2019,313040.255
15,15,2020,315318.103
15,15,2021,312991.897
16,16,2002,316226.721
16,16,2003,312572.254
16,16,2004,314734.503
16,16,2005,313116.972
16,16,2006,313121.549
16,16,2007,312648.597
16,16,2008,314779.411
16,16,2009,312750.689
16,16,2010,312846.059
16,16,2011,312934.231
16,16,2012,315040.779
16,16,2013,313069.134
16,16,2014,312570.125
16,16,2015,312865.229
16,16,2016,314945.071
16,16,2017,313086.629
16,16,2018,313203.956
16,16,2019,313072.561
16,16,2020,315006.171
16,16,2021,313006.284
17,17,2002,317079.639
17,17,2003,313072.9
17,17,2004,315122.15
17,17,2005,312738.932
17,17,2006,313225.137
17,17,2007,313146.985
17,17,2008,314329.736
17,17,2009,312828.026
17,17,2010,312612.988
17,17,2011,312216.08
17,17,2012,314687.314
17,17,2013,312734.09
17,17,2014,312794.889
17,17,2015,312470.58
17,17,2016,314537.328
17,17,2017,312852.95
17,17,2018,313003.688
17,17,2019,312772.368
17,17,2020,314777.421
17,17,2021,312787.198
18,18,2002,317105.965
18,18,2003,312800.208
18,18,2004,315002.258
18,18,2005,312636.859
18,18,2006,312744.161
18,18,2007,312750.615
18,18,2008,315161.244
18,18,2009,312990.03
18,18,2010,313145.569
18,18,2011,312778.622
18,18,2012,315041.439
18,18,2013,312755.807
18,18,2014,312530.907
18,18,2015,313130.283
18,18,2016,314347.087
18,18,2017,312932.957
18,18,2018,312903.215
18,18,2019,313020.311
18,18,2020,314510.847
18,18,2021,313265.313
19,19,2002,317125.759
19,19,2003,313165.56
19,19,2004,314701.575
19,19,2005,313183.001
19,19,2006,313016.053
19,19,2007,313023.282
19,19,2008,314871.201
19,19,2009,313109.827
19,19,2010,312617.945
19,19,2011,312619.284
19,19,2012,315067.511
19,19,2013,313275.228
19,19,2014,312744.706
19,19,2015,313112.844
19,19,2016,314842.896
19,19,2017,313198.16
19,19,2018,313127.883
19,19,2019,313188.378
19,19,2020,314814.67
19,19,2021,312492.754
20,20,2002,316464.545
20,20,2003,312673.515
20,20,2004,314696.26
20,20,2005,311680.595
20,20,2006,313037.93
20,20,2007,313240.922
20,20,2008,314407.23
20,20,2009,312793.464
20,20,2010,313289.951
20,20,2011,312819.222
20,20,2012,314349.059
20,20,2013,313243.577
20,20,2014,313186.905
20,20,2015,312924.647
20,20,2016,315099.759
20,20,2017,313126.096
20,20,2018,313071.343
20,20,2019,312446.709
20,20,2020,314804.832
20,20,2021,312979.329
21,21,2002,316279.757
21,21,2003,312609.112
21,21,2004,315059.613
21,21,2005,313000.305
21,21,2006,313207.457
21,21,2007,312686.242
21,21,2008,315120.12
21,21,2009,312704.575
21,21,2010,313109.84
21,21,2011,311478.062
21,21,2012,314830.018
21,21,2013,312734.593
21,21,2014,312911.226
21,21,2015,313201.584
21,21,2016,314375.587
21,21,2017,313225.976
21,21,2018,312907.191
21,21,2019,313050.868
21,21,2020,314225.053
21,21,2021,312775.252
22,22,2002,317097.794
22,22,2003,312672.952
22,22,2004,314963.189
22,22,2005,313026.718
22,22,2006,312716.102
22,22,2007,312105.322
22,22,2008,314791.389
22,22,2009,313053.778
22,22,2010,312787.06
22,22,2011,313261.248
22,22,2012,314836.646
22,22,2013,312916.31
22,22,2014,312360.883
22,22,2015,312976.657
22,22,2016,314544.31
22,22,2017,313026.067
22,22,2018,312699.776
22,22,2019,312578.466
22,22,2020,315052.774
22,22,2021,312851.415
23,23,2002,316674.336
23,23,2003,312767.256
23,23,2004,315125.176
23,23,2005,312546.243
23,23,2006,313054.021
23,23,2007,313260.185
23,23,2008,315058.31
23,23,2009,313058.791
23,23,2010,312462.494
23,23,2011,312870.622
23,23,2012,314389.628
23,23,2013,312968.596
23,23,2014,313130.919
23,23,2015,312297.238
23,23,2016,314956.942
23,23,2017,312417.582
23,23,2018,313179.868
23,23,2019,312914.981
23,23,2020,314787.811
23,23,2021,313097.339
24,24,2002,316900.243
24,24,2003,313133.157
24,24,2004,314632.522
24,24,2005,312708.268
24,24,2006,312899.277
24,24,2007,313184.685
24,24,2008,314991.028
24,24,2009,313013.118
24,24,2010,313118.771
24,24,2011,312877.5
24,24,2012,314520.24
24,24,2013,313375.541
24,24,2014,312650.288
24,24,2015,312858.343
24,24,2016,314802.905
24,24,2017,313262.01
24,24,2018,312975.963
24,24,2019,312955.371
24,24,2020,314882.765
24,24,2021,313180.168
25,25,2002,317338.6
25,25,2003,312689.1
25,25,2004,315152.522
25,25,2005,312952.733
25,25,2006,312037.237
25,25,2007,312633.868
25,25,2008,315073.01
25,25,2009,313093.635
25,25,2010,312655.766
25,25,2011,312065.631
25,25,2012,314590.81
25,25,2013,313054.766
25,25,2014,312700.648
25,25,2015,312615.354
25,25,2016,315105.033
25,25,2017,313197.529
25,25,2018,312677.699
25,25,2019,313197.466
25,25,2020,314988.961
25,25,2021,312854.918
26,26,2002,316671.158
26,26,2003,312898.031
26,26,2004,314886.439
26,26,2005,313058.489
26,26,2006,312960.892
26,26,2007,312893.902
26,26,2008,314937.413
26,26,2009,313060.307
26,26,2010,312986.68
26,26,2011,312668.214
26,26,2012,315041.187
26,26,2013,313222.054
26,26,2014,312981.345
26,26,2015,312953.25
26,26,2016,314914.736
26,26,2017,312957.613
26,26,2018,313216.637
26,26,2019,312955.268
26,26,2020,313952.543
26,26,2021,313063.244
27,27,2002,316645.173
27,27,2003,312695.379
27,27,2004,315206.023
27,27,2005,312639.813
27,27,2006,313153.686
27,27,2007,312831.864
27,27,2008,314544.087
27,27,2009,313344.808
27,27,2010,312634.057
27,27,2011,312929.695
27,27,2012,314699.809
27,27,2013,313075.675
27,27,2014,313077.281
27,27,2015,313219.069
27,27,2016,314356.925
