run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,15000000,0,33763996.0,48763996.0
1,1,2002,blade,delay,0,0,1359.4255150462961,1359.4255150462961
1,1,2002,blade,repair,30875,0,6670.208333333334,37545.208333333336
1,1,2002,converter,delay,0,0,4078.2024317129626,4078.2024317129626
1,1,2002,converter,repair,49400,0,8004.25,57404.25
1,1,2002,drivetrain,delay,0,0,3089296.8080833335,3089296.8080833335
1,1,2002,drivetrain,repair,543400,0,3629882.5333333337,4173282.5333333337
1,1,2002,generator,delay,0,0,1359.4255150462961,1359.4255150462961
1,1,2002,generator,repair,9880,0,1867.6583333333333,11747.658333333333
1,1,2002,pitch_system,delay,0,0,19215.054429398144,19215.054429398144
1,1,2002,pitch_system,repair,203720,0,58697.83333333332,262417.8333333334
1,1,2002,yaw_system,delay,0,0,4078.2394884259256,4078.2394884259256
1,1,2002,yaw_system,repair,33957,0,10272.120833333332,44229.120833333334
1,1,2003,array cable,repair,30000000,0,57881136.0,87881136.0
1,1,2003,blade,delay,0,0,70324.82170601851,70324.82170601851
1,1,2003,blade,maintenance,67925,0,58697.83333333333,126622.83333333333
1,1,2003,blade,repair,12350,0,2668.083333333333,15018.083333333332
1,1,2003,converter,delay,0,0,48964.85061689814,48964.85061689814
1,1,2003,converter,maintenance,66690,0,28815.299999999996,95505.3
1,1,2003,converter,repair,44460,0,7203.825,51663.825000000004
1,1,2003,drivetrain,delay,0,0,188209.3500810185,188209.3500810185
1,1,2003,drivetrain,maintenance,261820,0,71617.84159143518,333437.8415914352
1,1,2003,drivetrain,repair,642200,0,4825613.6,5467813.6
1,1,2003,generator,delay,0,0,862071.4265127315,862071.4265127315
1,1,2003,generator,maintenance,196312,0,56563.36666666666,252875.36666666667
1,1,2003,generator,repair,301340,0,1624279.5583333333,1925619.5583333333
1,1,2003,pitch_system,delay,0,0,128202.73820833332,128202.73820833332
1,1,2003,pitch_system,maintenance,135850,0,44023.375,179873.375
1,1,2003,pitch_system,repair,255576,0,73639.09999999999,329215.10000000003
1,1,2003,yaw_system,delay,0,0,52399.489114583324,52399.489114583324
1,1,2003,yaw_system,maintenance,101860,0,36686.145833333336,138546.14583333334
1,1,2003,yaw_system,repair,27783,0,8404.4625,36187.462499999994
1,1,2004,array cable,delay,0,0,950932.5250347222,950932.5250347222
1,1,2004,array cable,maintenance,235000,0,722307.75,957307.75
1,1,2004,array cable,repair,30000000,0,28940568.0,58940568.0
1,1,2004,blade,delay,0,0,88394.71253472222,88394.71253472222
1,1,2004,blade,maintenance,75335,0,65101.23333333332,140436.23333333334
1,1,2004,blade,repair,49400,0,10672.333333333332,60072.33333333333
1,1,2004,converter,delay,0,0,46098.18035879629,46098.18035879629
1,1,2004,converter,maintenance,75335,0,32550.61666666666,107885.61666666667
1,1,2004,converter,repair,44460,0,7203.825,51663.825000000004
1,1,2004,drivetrain,delay,0,0,4021512.185866898,4021512.185866898
1,1,2004,drivetrain,maintenance,281580,0,75126.74174189815,356706.7417418981
1,1,2004,drivetrain,repair,444600,0,3612806.8,4057406.8
1,1,2004,export cable,delay,0,0,16648.9375,16648.9375
1,1,2004,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2004,generator,delay,0,0,77400.54164930555,77400.54164930555
1,1,2004,generator,maintenance,218536,0,62966.76666666666,281502.76666666666
1,1,2004,generator,repair,96330,0,801867.6583333333,898197.6583333333
1,1,2004,pitch_system,delay,0,0,132330.1519548611,132330.1519548611
1,1,2004,pitch_system,maintenance,150670,0,48825.924999999996,199495.92500000002
1,1,2004,pitch_system,repair,229648,0,66168.46666666666,295816.4666666667
1,1,2004,yaw_system,delay,0,0,61735.70560532407,61735.70560532407
1,1,2004,yaw_system,maintenance,111120,0,40320.03827662037,151440.03827662038
1,1,2004,yaw_system,repair,46305,0,14007.4375,60312.4375
1,1,2005,array cable,delay,0,0,21346.926145833335,21346.926145833335
1,1,2005,array cable,maintenance,5000,0,15368.25,20368.25
1,1,2005,array cable,repair,10000000,0,33763996.0,43763996.0
1,1,2005,blade,delay,0,0,75632.71410069443,75632.71410069443
1,1,2005,blade,maintenance,72865,0,62966.76666666666,135831.76666666666
1,1,2005,blade,repair,12350,0,2668.083333333333,15018.083333333332
1,1,2005,converter,delay,0,0,48428.56586689814,48428.56586689814
1,1,2005,converter,maintenance,72865,0,31483.383333333328,104348.38333333333
1,1,2005,converter,repair,49400,0,8004.25,57404.25
1,1,2005,drivetrain,delay,0,0,112058.24007175924,112058.24007175924
1,1,2005,drivetrain,maintenance,271700,0,73372.29166666666,345072.2916666666
1,1,2005,drivetrain,repair,160550,0,27748.066666666666,188298.06666666668
1,1,2005,generator,delay,0,0,208622.1547511574,208622.1547511574
1,1,2005,generator,maintenance,207424,0,59765.06666666666,267189.06666666665
1,1,2005,generator,repair,212420,0,1607470.6333333333,1819890.6333333333
1,1,2005,pitch_system,delay,0,0,140375.46079282404,140375.46079282404
1,1,2005,pitch_system,maintenance,143260,0,46759.1238912037,190019.12389120372
1,1,2005,pitch_system,repair,248168,0,71504.63333333333,319672.63333333336
1,1,2005,yaw_system,delay,0,0,52373.32707523148,52373.32707523148
1,1,2005,yaw_system,maintenance,109268,0,39055.440890046295,148323.4408900463
1,1,2005,yaw_system,repair,21609,0,6536.804166666667,28145.804166666665
1,1,2006,array cable,delay,0,0,982878.2074826389,982878.2074826389
1,1,2006,array cable,maintenance,240000,0,737676.0,977676.0
1,1,2006,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2006,blade,delay,0,0,78017.90648726851,78017.90648726851
1,1,2006,blade,maintenance,79040,0,68302.93333333332,147342.93333333332
1,1,2006,blade,repair,6175,0,1334.0416666666665,7509.041666666666
1,1,2006,converter,delay,0,0,56568.70283333333,56568.70283333333
1,1,2006,converter,maintenance,79040,0,34684.15691550925,113724.15691550926
1,1,2006,converter,repair,49400,0,8004.25,57404.25
1,1,2006,drivetrain,delay,0,0,5971322.695623843,5971322.695623843
1,1,2006,drivetrain,maintenance,311220,0,84044.625,395264.625
1,1,2006,drivetrain,repair,691600,0,6012806.8,6704406.8
1,1,2006,export cable,delay,0,0,16648.9375,16648.9375
1,1,2006,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2006,generator,delay,0,0,413134.44590509246,413134.44590509246
